Operation,Max(MiB),Min(MiB),Mean(MiB),StdDev,Max(OPs),Min(OPs),Mean(OPs),StdDev,Mean(s),Test#,#Tasks,tPN,reps,fPP,reord,reordoff,reordrand,seed,segcnt,blksiz,xsize,aggs(MiB),API,RefNum,Used(GiB)
write,64.96,64.96,64.96,0.00,16630.85,16630.85,16630.85,0.00,7.88126,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,0
write,76.94,76.94,76.94,0.00,19696.74,19696.74,19696.74,0.00,6.65450,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,0.6983
write,68.10,68.10,68.10,0.00,17434.40,17434.40,17434.40,0.00,7.51801,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,0.6983
write,70.19,70.19,70.19,0.00,17969.39,17969.39,17969.39,0.00,7.29418,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,1.3966
write,66.20,66.20,66.20,0.00,16948.32,16948.32,16948.32,0.00,7.73363,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,2.0949
write,67.70,67.70,67.70,0.00,17331.75,17331.75,17331.75,0.00,7.56254,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,2.7932
write,68.61,68.61,68.61,0.00,17563.61,17563.61,17563.61,0.00,7.46270,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,2.7932
write,66.86,66.86,66.86,0.00,17116.15,17116.15,17116.15,0.00,7.65780,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,3.4915
write,66.27,66.27,66.27,0.00,16965.63,16965.63,16965.63,0.00,7.72574,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,4.1898
write,65.02,65.02,65.02,0.00,16644.97,16644.97,16644.97,0.00,7.87457,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,4.8881
write,71.49,71.49,71.49,0.00,18301.28,18301.28,18301.28,0.00,7.16190,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,4.8881
write,72.26,72.26,72.26,0.00,18498.41,18498.41,18498.41,0.00,7.08558,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,5.5864
write,67.01,67.01,67.01,0.00,17155.17,17155.17,17155.17,0.00,7.64038,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,6.2847
write,66.56,66.56,66.56,0.00,17038.68,17038.68,17038.68,0.00,7.69261,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,6.2847
write,67.23,67.23,67.23,0.00,17211.43,17211.43,17211.43,0.00,7.61541,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,6.983
write,79.92,79.92,79.92,0.00,20459.55,20459.55,20459.55,0.00,6.40640,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,7.6813
write,72.75,72.75,72.75,0.00,18624.36,18624.36,18624.36,0.00,7.03766,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,8.3796
write,67.35,67.35,67.35,0.00,17242.85,17242.85,17242.85,0.00,7.60153,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,8.3796
write,66.87,66.87,66.87,0.00,17118.10,17118.10,17118.10,0.00,7.65693,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,9.0779
write,69.19,69.19,69.19,0.00,17712.60,17712.60,17712.60,0.00,7.39993,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,9.7762
write,73.41,73.41,73.41,0.00,18791.91,18791.91,18791.91,0.00,6.97492,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,9.7762
write,69.15,69.15,69.15,0.00,17701.42,17701.42,17701.42,0.00,7.40460,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,10.4745
